,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track_title,album_title,album_artist,track_number,total_tracks
0,0.788,0.616,9,-10.671,0,0.0337,0.00286,0.549,0.0952,0.696,119.037,0dEIca2nhcxDUV8C5QkPYb,275387,4,Give Life Back to Music,Random Access Memories,Daft Punk,1,13
0,0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,3ctALmweZBapfBdFiIVpji,322147,4,The Game of Love,Random Access Memories,Daft Punk,2,13
0,0.74,0.682,9,-10.42,0,0.0504,0.0692,0.53,0.381,0.41,113.201,0oks4FnzhNp5QPTZtoet7c,544627,4,Giorgio by Moroder,Random Access Memories,Daft Punk,3,13
0,0.702,0.297,10,-14.116,0,0.0317,0.894,0.485,0.103,0.0676,110.116,7Bxv0WL7UC6WwQpk9TzdMJ,228507,4,Within,Random Access Memories,Daft Punk,4,13
0,0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,2cGxRwrMyEAp8dEbuZaVv6,337560,4,Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk,5,13
0,0.832,0.659,10,-7.828,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,5CMjjywI0eZMixPeqNd75R,353893,4,Lose Yourself to Dance (feat. Pharrell Williams),Random Access Memories,Daft Punk,6,13
0,0.29,0.412,6,-12.659,0,0.0458,0.477,0.0839,0.079,0.12,90.539,7oaEjLP2dTJLJsITbAxTOz,498960,4,Touch (feat. Paul Williams),Random Access Memories,Daft Punk,7,13
0,0.81,0.793,6,-9.404,0,0.0403,0.0378,1.77e-06,0.072,0.863,116.05,69kOkLUCkxIZYexIgSG8rq,369627,4,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,Daft Punk,8,13
0,0.716,0.648,8,-11.33,0,0.0337,0.367,0.485,0.368,0.789,104.022,0k1xMUwn9sb7bZiqdT9ygx,290240,4,Beyond,Random Access Memories,Daft Punk,9,13
0,0.548,0.707,4,-14.902,0,0.0352,0.512,0.922,0.105,0.284,103.009,79koEJRtKOOGJ0VSAF3FMk,341653,4,Motherboard,Random Access Memories,Daft Punk,10,13
0,0.807,0.51,0,-9.729,1,0.0433,0.041,0.115,0.104,0.961,130.118,0IedgQjjJ8Ad4B3UDQ5Lyn,279773,4,Fragments of Time (feat. Todd Edwards),Random Access Memories,Daft Punk,11,13
0,0.804,0.451,6,-8.207,1,0.0949,0.388,2.17e-05,0.0924,0.19,178.061,36c4JohayB9qd64eidQMBi,251293,4,Doin' it Right (feat. Panda Bear),Random Access Memories,Daft Punk,12,13
0,0.4,0.756,11,-8.423,0,0.0492,0.00282,0.753,0.0695,0.0924,123.828,2KHRENHQzTIQ001nlP9Gdc,383627,4,Contact,Random Access Memories,Daft Punk,13,13
0,0.717,0.382,9,-13.752,1,0.64,0.506,0.0,0.242,0.622,116.632,4l2bO887Yauqos4LwkCwBm,473507,4,"Episode 1, Giorgio Moroder",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,1,8
0,0.723,0.389,9,-13.204,1,0.8,0.424,0.0,0.183,0.624,118.413,3K6HXNtxo1A2eCthCzrwaS,458493,3,"Episode 2, Todd Edwards",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,2,8
0,0.707,0.515,6,-12.299,0,0.772,0.359,0.0,0.237,0.654,115.171,2fJp2bDmhG62vlmUpuWjxb,453200,4,"Episode 3, Nile Rodgers",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,3,8
0,0.635,0.476,6,-13.942,0,0.446,0.297,0.0,0.181,0.6,116.154,5pZHN9b6KrXlUC5Dt3FA0O,422827,4,"Episode 4, Pharrell Williams",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,4,8
0,0.679,0.377,2,-14.144,1,0.553,0.313,0.0,0.163,0.586,116.597,4I2apNr2XWqSo2UdEFwUsv,457813,4,"Episode 5, Panda Bear",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,5,8
0,0.573,0.442,7,-13.044,1,0.664,0.666,0.0,0.23,0.55,80.7,6TOFKxiVogOtLKEBGMIFX7,516467,3,"Episode 6, Chilly Gonzales",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,6,8
0,0.689,0.394,9,-10.859,1,0.768,0.752,0.0,0.259,0.666,112.787,40DD7ZKO1urSddN6HhMfuh,485933,4,"Episode 7, DJ Falcon",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,7,8
0,0.718,0.388,9,-12.546,1,0.833,0.798,0.0,0.263,0.661,123.655,4TgBZlDIwm4kagFvqnw08R,449320,4,"Episode 8, Paul Williams",Daft Punk | Random Access Memories | The Collaborators,Daft Punk,8,8
0,0.518,0.527,8,-7.684,1,0.0687,0.0569,0.00263,0.107,0.213,96.995,4lteJuSjb9Jt9W1W7PIU2U,262240,4,Derezzed - Remixed by The Glitch Mob,TRON: Legacy Reconfigured,Daft Punk,1,15
0,0.373,0.841,4,-6.475,0,0.0614,0.00141,0.642,0.342,0.164,89.926,66uVqkmHAc0MBUzoPhIypN,234987,4,Fall - Remixed by M83 VS Big Black Delta,TRON: Legacy Reconfigured,Daft Punk,2,15
0,0.634,0.798,1,-6.86,1,0.0607,0.0283,0.546,0.1,0.494,125.011,4OEnpg5ubhg6OQ4M2ZjtsL,267787,4,The Grid - Remixed by The Crystal Method,TRON: Legacy Reconfigured,Daft Punk,3,15
0,0.741,0.806,1,-6.443,0,0.0371,0.00531,0.783,0.133,0.248,126.967,2EyK6JBWqftJlxAuqd0Dsq,334347,4,Adagio for TRON - Remixed by Teddybears,TRON: Legacy Reconfigured,Daft Punk,4,15
0,0.431,0.955,7,-5.601,0,0.0361,0.0175,0.693,0.164,0.282,106.011,1TT6gRprLQ5vSWgoWpyKfR,291507,4,The Son of Flynn - Remixed by Ki:Theory,TRON: Legacy Reconfigured,Daft Punk,5,15
0,0.595,0.605,6,-6.746,0,0.031,0.000132,0.802,0.181,0.163,130.019,6hEvTmmvby9ZTkSdfmPW3m,275267,4,C.L.U. - Remixed by Paul Oakenfold,TRON: Legacy Reconfigured,Daft Punk,6,15
0,0.621,0.853,7,-7.504,0,0.0311,0.543,0.912,0.423,0.2,105.997,03uOJUuuTgaFFI1Efal1no,392293,4,The Son of Flynn - Remixed by Moby,TRON: Legacy Reconfigured,Daft Punk,7,15
0,0.602,0.879,9,-6.703,0,0.107,0.00244,0.931,0.108,0.354,122.995,3YYnfKM02WkygOwg6ozfrL,340187,4,End of Line - Remixed by Boys Noize,TRON: Legacy Reconfigured,Daft Punk,8,15
0,0.597,0.814,11,-6.992,0,0.0528,0.000704,0.889,0.124,0.396,128.002,2jFLd9OdNcLsblpv4fDTRn,412440,4,Rinzler - Remixed by Kaskade,TRON: Legacy Reconfigured,Daft Punk,9,15
0,0.488,0.934,7,-7.189,0,0.0535,0.0084,0.815,0.153,0.266,165.98,3SL3UavpjRKNMM9UVlE9Bx,292093,4,Encom Part 2 - Remixed by Com Truise,TRON: Legacy Reconfigured,Daft Punk,10,15
0,0.581,0.806,11,-4.555,0,0.0417,0.00105,0.00461,0.216,0.528,98.006,2UBYw2qf9PkvoKQ610ocft,318720,4,End of Line - Remixed by Photek,TRON: Legacy Reconfigured,Daft Punk,11,15
