features,score,elbow
"['labels', 'instrumentalness', 'speechiness']",0.5181347345972594,4
"['labels', 'loudness', 'speechiness']",0.4996798373884744,3
"['labels', 'speechiness', 'tempo']",0.4987306005302404,3
"['labels', 'instrumentalness', 'loudness']",0.49537837182151623,3
"['labels', 'liveness', 'speechiness']",0.4889691744761093,4
"['labels', 'instrumentalness', 'tempo']",0.4873022003927517,3
"['labels', 'instrumentalness', 'liveness']",0.47468916722664356,4
"['labels', 'acousticness', 'speechiness']",0.4647798956588014,4
"['labels', 'liveness', 'tempo']",0.4550510553876277,3
"['labels', 'acousticness', 'loudness']",0.45481189797602345,3
"['labels', 'liveness', 'loudness']",0.45192613795971665,3
"['labels', 'danceability', 'instrumentalness']",0.4485093959149624,3
"['labels', 'danceability', 'speechiness']",0.4484979301113594,3
"['labels', 'acousticness', 'tempo']",0.43645301068702974,3
"['labels', 'acousticness', 'instrumentalness']",0.4295226622967175,3
"['labels', 'acousticness', 'liveness']",0.4238860073343977,5
"['labels', 'danceability', 'liveness']",0.4122865238945333,3
"['labels', 'acousticness', 'energy']",0.4064447021939865,3
"['labels', 'energy', 'instrumentalness']",0.40528736514947944,3
"['labels', 'acousticness', 'danceability']",0.3972021692009511,3
"['labels', 'energy', 'speechiness']",0.39563197689532686,3
"['labels', 'instrumentalness', 'valence']",0.39493166262138735,3
"['labels', 'speechiness', 'valence']",0.3792583588521456,4
"['labels', 'energy', 'loudness']",0.3781528396188744,3
"['labels', 'energy', 'liveness']",0.3703225367666092,3
"['labels', 'loudness', 'tempo']",0.3498265367130249,3
"['labels', 'tempo', 'valence']",0.3493517299682149,3
"['labels', 'loudness', 'valence']",0.34916546188482767,3
"['labels', 'acousticness', 'valence']",0.3473775805518231,3
"['labels', 'liveness', 'valence']",0.34685680762912097,4
"['labels', 'energy', 'tempo']",0.3351858907174812,3
"['labels', 'danceability', 'valence']",0.3267453057344497,3
"['labels', 'danceability', 'loudness']",0.3132626603642581,4
"['labels', 'danceability', 'tempo']",0.30996062334867525,4
"['labels', 'danceability', 'energy']",0.30436806416092066,3
"['labels', 'energy', 'valence']",0.28713544775370975,3
