,start,duration,confidence,loudness_start,loudness_max_time,loudness_max,loudness_end,track_title,pitches,timbre
0,0.0,1.01583,0.0,-60.0,0.0,-60.0,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.202, 0.246, 0.215, 0.198, 0.407, 1.0, 0.246, 0.217, 0.229, 0.274, 0.295, 0.22]","[0.0, 171.13, 9.469, -28.48, 57.491, -50.067, 14.833, 5.359, -27.228, 0.973, -10.64, -7.228]"
0,1.01583,0.31596,1.0,-60.0,0.0726,-9.859,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.169, 0.14, 0.057, 0.42, 1.0, 0.139, 0.033, 0.048, 0.123, 0.056, 0.085, 0.555]","[35.458, 55.906, 69.742, -166.536, -3.252, 103.341, 49.364, -1.536, -24.884, 69.886, 22.117, -2.713]"
0,1.33179,0.20694,0.63,-16.198,0.00584,-9.356,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.559, 0.518, 0.394, 0.09, 0.082, 0.069, 0.304, 1.0, 0.298, 0.047, 0.035, 0.182]","[47.965, 57.123, -5.636, -1.102, -15.098, -44.508, -12.726, 4.581, -0.856, -4.22, -7.879, -0.509]"
0,1.53873,0.65542,0.721,-14.68,0.0478,-6.658,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.156, 0.123, 0.097, 0.064, 0.292, 0.094, 0.068, 0.055, 0.041, 1.0, 0.125, 0.062]","[49.72, 76.665, 1.289, -54.631, -18.938, 1.954, 4.342, 14.679, -6.337, -6.765, -10.646, -6.253]"
0,2.19415,0.13379,0.26,-11.337,0.05143,-8.078,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.222, 0.188, 0.054, 0.109, 0.452, 0.159, 0.411, 0.454, 0.794, 1.0, 0.628, 0.039]","[50.446, 81.393, 18.975, -21.829, -16.591, -18.652, -0.103, 12.926, 0.496, 6.445, -9.055, -0.43]"
0,2.32794,0.25501,0.076,-10.681,0.00426,-7.677,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.177, 0.095, 0.08, 0.084, 0.936, 0.052, 0.026, 0.075, 0.132, 1.0, 0.228, 0.073]","[50.092, 90.499, -0.057, 14.356, -17.768, -40.188, 5.918, -12.525, 4.075, 11.148, -27.886, 28.895]"
0,2.58295,0.34385,0.581,-14.433,0.02163,-8.431,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.147, 0.094, 0.106, 0.087, 1.0, 0.038, 0.029, 0.1, 0.056, 0.921, 0.087, 0.044]","[49.707, 90.737, -8.285, -6.546, -18.578, -20.37, -16.743, -27.641, 1.961, 7.611, -7.35, -4.769]"
0,2.9268,0.14975,0.528,-13.973,0.05272,-8.943,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.205, 0.054, 0.079, 0.212, 0.466, 0.108, 0.339, 0.349, 0.764, 1.0, 0.584, 0.055]","[48.802, 56.346, 15.848, -50.764, 4.833, -10.055, -16.506, 9.576, 6.993, -7.377, -3.954, 6.674]"
0,3.07655,0.25587,0.487,-10.964,0.0258,-6.279,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.236, 1.0, 0.992, 0.303, 0.115, 0.03, 0.091, 0.053, 0.088, 0.386, 0.095, 0.035]","[50.618, 94.616, -14.445, 18.861, -20.069, -34.867, -17.685, -9.427, 8.082, 3.981, -12.293, 4.142]"
0,3.33243,0.25882,0.66,-13.232,0.02387,-6.571,0.0,0dEIca2nhcxDUV8C5QkPYb,"[0.113, 0.116, 0.106, 0.312, 1.0, 0.292, 0.048, 0.091, 0.095, 0.09, 0.056, 0.527]","[50.136, 67.541, -4.709, -0.347, -5.629, -25.817, -7.875, 6.588, 5.997, 12.979, 12.23, 4.398]"
