danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,track_title,album_title,album_artist,track_number,total_tracks
0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,5WQ1hIc5d2EVbRQ8qsj8Uh,235213,4,Hey Ya! - Radio Mix / Club Mix,Speakerboxxx/The Love Below,Outkast,9,87
0.811,0.935,11,-4.595,0,0.0407,0.0134,0.411,0.0244,0.968,138.479,65OXGbKBQ8gUyJvUd0jNpf,202571,4,"Boom, Boom, Boom, Boom!!",Greatest Hits!,Vengaboys,2,87
0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,05wIrZSwuaVWhcv5FfqeH0,238733,4,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,6,87
0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,6QgjcU0zLnzq5OrUoSZ3OK,163253,4,Feel It Still,Woodstock,Portugal. The Man,4,87
0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,2WfaOiMkCvy7F5fcp2zZ8L,225280,4,Take on Me,Hunting High and Low,a-ha,1,87
0.728,0.974,8,-8.134,1,0.0408,0.0936,1.54e-05,0.0855,0.923,113.325,6JEK0CvvjDjjMUBFoXShNZ,213453,4,Never Gonna Give You Up,The Best Of,Rick Astley,1,87
0.699,0.83,1,-4.898,1,0.0633,0.00243,0.00024,0.0995,0.889,105.809,1UxisKljksGRNwJBPp4Tri,219413,4,Valerie (feat. Amy Winehouse) - Version Revisited,Version Digital Edition,Mark Ronson,5,87
0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,27L8sESb3KR79asDUBu8nW,197987,4,Stacy's Mom,Welcome Interstate Managers,Fountains Of Wayne,3,87
0.828,0.676,7,-6.132,1,0.032,0.0358,0,0.0513,0.901,117.041,2mc3KhEpFAh8saVFVNb1hC,235627,4,Don't Stop Movin',Sunshine,S Club 7,1,87
0.758,0.753,4,-9.236,1,0.0272,0.16,0,0.178,0.949,101.724,7brBzTFzUzxwKNXbyS5sN2,219467,4,Merry Christmas Everyone,Christmas Hits,Various Artists,8,87
